"","O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"147","17-2041.00",4.86,4.88,4.88,3.88,3.88,4.62,4.62,4.25,2.75,4.12,5,4.38,4.12,3.62,4.62,3.38,0.25,3,2.38,3.75,5,4.12,"1"
"148","17-2051.00",4.13,4.25,4.75,3.88,4,4.12,4,4.88,3,4.38,5,5,4,3.62,4.88,3.12,1.62,3.62,2.75,4.12,5,4,"1"
"149","17-2051.01",4.55,4.12,4.88,3.25,4.12,4.12,4.12,4.38,2.62,4.25,4.88,4.75,3.88,3,4.5,3,0.75,3,2.25,4.25,4.5,4.12,"1"
"150","17-2061.00",4.62,3.88,4.38,3,3.5,4,3.75,3.25,2.75,3,4.62,4.38,3.62,2.75,4,3,0,2,2.25,3.88,4.25,4,"1"
"151","17-2071.00",4.43,3.5,4,3.12,3.62,4,4,4,2.38,3.62,4.38,4.5,3.38,2.88,4.25,3.12,0.12,2.25,2.88,3.25,4.75,4.12,"1"
"152","17-2072.00",4.53,3.88,4,3.38,3.75,4,4,3.88,2.75,3.12,4.12,4,3.88,3,4.12,3.12,0.12,2.75,2.75,4.12,4.25,4.12,"1"
"153","17-2072.01",4.39,3.62,4.25,2.88,3.38,3.75,3.75,3.12,2.12,3.25,4.12,3.88,3.12,2.5,3.5,2.88,0.25,2.12,2.12,3.12,4,3.75,"1"
"154","17-2081.00",4.63,3.88,4.25,3.5,3.62,4.5,4,4,3,3.88,4.62,4.25,3.88,3.12,4.5,3.75,0.25,2.88,3.12,3.38,4.5,4.5,"1"
"155","17-2081.01",4.66,4.25,4.88,3.5,4,4.25,4.25,4.62,2.88,4.38,4.75,4.62,3.88,2.88,4.38,3.25,1,3.25,2.62,4.25,4.5,4.25,"1"
"156","17-2111.01",4.16,4,4.88,4.12,4.12,4.88,4.12,3.88,2.88,3.25,4.75,4.75,3.88,3.5,5,3.12,1.62,3.5,2.5,3.88,4.88,4.38,"1"
"157","17-2111.02",4.32,3.88,4.38,3.88,4,4,3.88,2.88,2.62,2.88,4,4.38,4,3.25,4.38,3.12,0.62,3,2.25,3.75,4,4,"1"
"158","17-2111.03",4.18,3.38,4.12,3.12,3.5,4.25,3.25,3.12,2.25,2.88,4.5,4.25,3.12,3,4.5,2.88,0.62,2.75,2.25,3.25,4.38,4.12,"1"
"159","17-2112.00",4.45,3.62,3.88,3.12,3.5,4,3.75,3.5,2.25,2.75,4.25,4.38,3.5,2.62,4,3.25,0.5,2.12,2.88,3.62,4.25,4.38,"1"
"160","17-2112.01",4.79,4,4.88,3.38,4,4.5,4,4.38,2.75,3.75,5,4.62,3.88,2.88,4.5,3,0.62,3.12,2.25,3.75,4.75,4.38,"1"
"161","17-2121.01",4.17,4.25,5.12,3.38,3.75,4.5,4.62,4.38,2.62,4.25,4.5,4.75,4,3.38,4.25,3,2.12,2.88,2.75,4.25,4.88,4.5,"1"
"162","17-2121.02",4.64,4.25,4.88,2.75,4.38,4.25,4.5,4.62,2.12,4.38,5.12,4.88,4.12,3,4.38,3.25,1,3,2.38,4.62,5.12,4.12,"1"
"163","17-2131.00",4.64,4.62,4.62,3.38,3.75,4.38,4,4.5,2,4.25,4.75,4.88,4.12,3.12,4.25,2.88,0,2.62,2.25,4,4.75,4.62,"1"
"164","17-2141.00",4.78,4.12,4.88,3.38,3.88,4.12,4.38,4.75,2.62,4.25,4.88,4.88,4,3.38,4.12,3.5,0.38,3,2.75,3.88,4.75,4.12,"1"
"165","17-2141.01",4.46,3.5,4.12,3.62,4.12,4.12,3.75,4.25,2.75,3.62,4.62,4.62,3.75,3.75,4.25,3.12,0.62,3,2.75,3.62,4.75,4.38,"1"
"166","17-2141.02",4.61,4.25,5,3.38,4.12,4.75,4.5,4.75,2.62,4.12,4.62,4.62,4.5,3,4.25,3.38,1.5,2.62,2.62,4.25,4.62,4,"1"
"167","17-2151.00",4.77,4.12,4.88,3.88,4,4.62,4.12,4.38,2.75,3.75,5,4.62,3.88,3.25,4.5,3.5,1.5,3.38,2.38,4,4.88,4.62,"1"
"168","17-2161.00",4.59,4,4.38,3.5,3.88,4.25,4.12,4.12,2.75,3.88,5,5,3.62,3.38,4.88,3.25,0.12,2.88,3.12,3,5,4.88,"1"
"169","17-2171.00",4.51,4.12,4.12,3.38,3.62,4.25,3.88,4.12,2.38,3.38,4.38,4.5,3.62,2.62,4.12,3.12,0.62,3,2.88,3.12,4.5,4.5,"1"
"170","17-2199.01",4.44,4,4.38,3.75,3.88,4.88,4,4,3,4,5,5,4,3.12,4.62,3.25,0,3,3,3.38,5,5,"1"
"171","17-2199.02",4.3,3.88,4.38,3,3.12,4.12,4,3.88,2.12,3.5,4.38,4.12,3.12,2.88,4.12,3,0,2.38,2.88,3,4.38,4.12,"1"
"172","17-2199.03",4.73,3.75,4.12,3.12,3.62,4.12,4,4,2.5,4,4.75,4.12,3.62,3,4.12,3.12,0,2.5,2.75,3.62,4.62,3.88,"1"
"173","17-2199.04",4.42,4.38,4.88,4,4.12,4.38,4.12,4.62,3.12,4.5,4.88,4.75,4.12,3.75,4.38,3.75,1,3.62,2.5,4,4.88,4.38,"1"
"174","17-2199.05",4.35,3.25,4.5,2.88,3.5,4.38,3.62,3.88,2.62,3.38,4.5,4.38,4,2.75,4.25,3.12,0.62,2.62,2.75,3.62,4.38,4.38,"1"
"175","17-2199.06",4.66,4,4.5,3.5,4,4.38,4.12,3.75,3.25,3.88,4.75,4.5,4,3.38,4.25,3.38,0.5,3,3.25,3.62,4.62,4.5,"1"
"176","17-2199.07",4.57,4.62,5.12,3.62,4.25,4.5,4.38,4.88,2.75,4.25,4.88,4.88,4.62,3.12,4.12,3,0,3,2.25,4.12,5,4.62,"1"
"177","17-2199.08",4.5,3.88,4.75,3.88,4.12,4.5,4.5,4.75,3,4,4.88,4.62,4.62,3.75,4.5,3.12,1,3.38,2.88,4.62,5,4.62,"1"
"178","17-2199.09",4.54,4.75,5.12,3.62,4.12,4.88,4.25,4.62,3,4.25,5.38,5,4.25,3,4.38,3.38,0.25,3.12,2.38,3.62,5.38,4.62,"1"
"179","17-2199.10",4.63,3.5,4.38,3.25,3.5,3.88,3.75,4.38,2.62,3.75,4.38,4.38,3.62,2.88,3.75,2.62,0.5,2.5,1.75,4,4.38,3.88,"1"
"180","17-2199.11",4.05,3.62,4.12,3,3.62,4,3.75,3.88,3,3.5,4.38,4.38,3.75,2.88,4,3,0,2.75,3,3.25,4.5,4.12,"1"
"181","17-3011.01",4.67,3.75,4,3.5,3.12,3.88,4,3.75,2.12,3.25,4.12,4,3.38,3.12,4,2.88,1.62,2.88,2,4.5,4,3.88,"1"
"182","17-3011.02",3.9,3.62,3.12,3.12,2.88,3.12,3.75,3,2,3.12,3.88,3.88,3,2.38,3.12,3.12,0.12,2.12,2.38,3.75,4,3.75,"1"
"183","17-3012.01",3.96,3,3.5,2.62,3.12,3.5,3.12,3,1.25,2.38,4,4,3,2.25,3.38,3,0.12,2,2.25,3.5,4,3.62,"1"
"184","17-3012.02",3.95,3.25,3.62,2.88,3.12,3.5,3.62,3,1.88,2.88,4,4,3,2.75,3.5,2.88,0.75,2.12,2.25,3.5,3.88,4,"1"
"185","17-3013.00",4.34,3.5,3.62,3.62,3.25,3.5,3.75,3.62,1.75,3.38,3.88,3.88,3.38,3,3.5,3.25,0.12,2.75,2.25,4,3.75,3.25,"1"
"186","17-3021.00",4.47,3.62,4,3.38,3.12,4,3.88,3.12,2.88,3,4.5,4,3,3.38,4.12,3.25,0.12,2.75,2.75,3.75,4,4,"1"
"187","17-3022.00",4.08,3.5,4,3.12,3.12,3.75,3.88,3.75,2.5,3.38,4.12,4,2.88,2.88,3.88,3,1.12,2.88,2.62,4,4,4,"1"
"188","17-3023.01",4.17,3.5,4,3,2.88,3.88,3.88,3.12,2.88,3,4,3.75,3,2.88,3.88,2.88,0.25,2.5,2.38,3.12,4,3.62,"1"
"189","17-3023.03",4.24,3.62,3.88,3.12,3.12,3.62,3.88,2.88,2.38,2.5,4,4,3,3.12,3.88,3,0.5,2.75,2.88,3.75,4,3.62,"1"
"190","17-3024.00",4.23,3,3.88,3.12,2.88,3.5,3.88,2.88,2.88,3,3.88,3.88,2.5,3.5,3.75,3.5,1.38,2.62,3,3.75,3.62,3.12,"1"
"191","17-3024.01",4.32,3.62,4.12,3.38,3.12,4,4,3,3.12,3,4,4,3.25,3.25,4,3.25,1.75,3.12,2.75,3.88,4.25,3.88,"1"
"192","17-3025.00",3.8,4,3.88,3.12,3.12,4,4,3.5,2.88,3.5,4.5,4,3,3,4.12,3.12,1.88,2.88,2.88,3.25,4.75,4,"0"
"193","17-3026.00",4.3,3.75,4,3,3.75,4,3.75,3.62,2.62,3.38,4,4,3.62,3,3.88,3,0.62,2.75,2.75,3.75,4,3.88,"1"
"194","17-3027.00",4.24,4.12,4.12,3.25,3.25,3.75,3.88,3.38,2.5,3.62,4.12,4,3.25,3.38,4,3.12,1.5,2.62,2.5,3.5,4.12,3.75,"1"
"195","17-3027.01",4.11,3.5,3.75,3.38,3.5,3.5,3.5,3,2.38,2.62,4,3.75,3.25,3.25,3.75,3.25,2.12,2.75,2.75,3.25,4,3.38,"1"
"196","17-3029.01",3.8,3.25,3.75,3.75,2.88,4,3.62,3,2.88,3,3.88,3.88,2.75,3.12,4.12,3.5,2,2.88,3,3.12,3.75,3.88,"0"
"197","17-3029.02",4.54,3.75,3.88,3.25,3.12,3.75,3.88,3.62,2.5,3.38,4.38,4.38,3,3.38,3.75,3,0,2.62,2.12,3.75,4.25,3.62,"1"
"198","17-3029.03",4.43,3.25,3.75,3.25,3.25,3.75,3.75,3.5,3.25,3.5,4.25,4,3.38,3.62,4.12,3.12,0.62,3.25,2.5,3.62,4.25,3.88,"1"
"199","17-3029.04",4.29,3.62,4,3.5,3.25,4.12,4,3.5,2.88,3.25,4.5,4,3.12,3.12,3.88,3.12,1,3,2.75,4,4.38,3.75,"1"
"200","17-3029.05",4.01,3.75,4.25,3.38,3.5,3.62,3.62,3.88,2.62,3.5,4.5,4.12,3.62,2.88,3.75,3.38,0.38,2.75,2.5,3.88,4.25,4,"1"
"201","17-3029.06",4.41,4.62,4.88,3.75,4.12,4.12,4.12,4.62,2.75,4,4.62,4.5,4,3.75,4,3.62,0.75,3.38,2.88,4.12,4.75,4.12,"1"
"202","17-3029.07",4.42,3.5,3.75,3.38,3.12,3.75,3.88,3.38,2.75,3,4.12,3.75,3,3.12,3.88,3,2,3,3,3.75,4,3.5,"1"
"203","17-3029.08",3.84,3.12,3.38,2.88,3,2.88,3.38,3.25,2.5,3,3.75,3.5,2.88,3,3.5,3.12,0.38,2.5,2.62,3.12,3.62,3.5,"0"
"204","17-3029.09",4.22,3.12,3.25,3.12,2.88,3.12,3.25,2.75,2.75,2.62,3.75,3.5,2.88,3.12,3.75,3.12,0.88,1.88,2.75,3.75,3.25,3.25,"1"
"205","17-3029.11",4.48,3.62,4,3.62,3.38,3.75,3.75,3.62,2.25,3.12,4.5,4.38,3.25,3.12,3.88,3.12,0,3,2.38,3.25,4.25,4.12,"1"
"206","17-3029.12",4.21,3.25,3.75,3.25,3.25,3.5,3.38,3,3,3.25,3.88,3.75,3.12,3.75,3.5,3.75,0.88,3,3.12,3.38,3.88,3.5,"1"
"207","17-3031.01",4,3,3,3.12,3,3,3.38,3.12,2.75,3,3.75,3.75,3,3,3.38,3.12,2.38,2.38,2.88,3,3.75,3.12,"1"
"208","17-3031.02",4.04,3.12,3.62,3.75,3.12,3.25,4,3.38,2.88,3.5,3.88,3.88,3,2.75,3.12,2.88,0.75,3,2.25,3.25,3.88,3.62,"1"
"209","19-1011.00",4.54,4,4.38,3,3.75,4.88,4,3.38,2.62,3.5,4.88,5,3.5,2.62,4.12,2.88,0.75,2.38,2.75,3,4.75,4.5,"1"
"210","19-1012.00",4.31,4.12,4.12,3.38,3.75,4.38,3.75,3.88,2.62,3.75,4.38,4.25,3.62,3.12,4.12,3.25,0,2.62,2.88,2.88,4.38,4.25,"1"
"211","19-1013.00",4.27,4,4.62,3.25,4,4.75,4,3.62,2.62,3.25,5,4.88,4.12,2.75,4.25,2.88,1.38,2.88,2.5,2.75,4.75,4.62,"1"
"212","19-1020.01",4.39,4.75,4.88,3.75,3.88,5,4.12,4.12,3,3.38,5.12,5.25,3.88,2.75,4.25,2.88,0.38,2.88,2.38,3.25,5,4.88,"1"
"213","19-1021.00",4.64,5.25,5.12,3.88,4.62,5.12,4.38,4.62,3.12,4.12,5.88,5.62,4.62,3,4.88,3.38,0,3.38,2.12,3.38,5.25,5.38,"1"
"214","19-1022.00",4.57,5,5,4.12,4,5.25,4.25,4,2.62,3.88,5.12,4.88,4.62,3.62,5,3.62,0,3.38,2.25,3.5,5,5,"1"
"215","19-1023.00",3.91,4,4,3.25,3.25,4,4,3.25,2.25,3.12,4.88,4.88,3.12,2.88,3.88,3.12,1.75,2.5,3,3,4.88,5,"1"
"216","19-1029.01",4.85,4.12,4.75,3.62,4.12,4.62,4.25,4.38,3.25,4.25,4.75,4.75,4.25,3.5,4.62,3.62,0.25,3.38,2.62,3.5,4.88,4.88,"1"
"217","19-1029.02",4.65,5,5.25,3.75,4.38,5.5,4.5,4.62,3,4,5.88,5.75,4.5,3,4.5,3.25,0.25,3.12,2.5,3.12,5.75,5.5,"1"
"218","19-1029.03",4.62,4,4.5,3.38,4.12,5,4.12,3.88,2.75,3.75,5,4.88,4.25,3,4.5,2.88,0.12,2.5,2.62,3,5,5,"1"
"219","19-1031.01",4,3.5,4.12,3.25,3.62,4.12,3.5,3.62,2.88,3.62,4.62,4.12,3.88,2.88,4.12,3,2,2.88,3,3.25,4.5,4,"1"
"220","19-1031.02",3.83,3.63,4.13,2.75,3.75,3.88,3.38,2.88,1.88,3.13,4.13,4.38,3.75,2.25,4.25,3.13,2,2.38,2.63,3.25,4.38,4.25,"0"
"221","19-1031.03",4,3,3.12,3,3.25,3.12,3,2,2.88,2.12,4,4.38,3.38,2.62,3.25,2.75,2,2.25,2.75,2.88,4,3.88,"1"
"222","19-1032.00",3.89,4.12,3.88,3.62,3.75,3.88,3.88,3.25,2.62,2.75,4.25,4.12,4,2.38,4.12,2.88,2.75,2.88,3,3.38,4.12,3.88,"1"
"223","19-1041.00",4.73,4.38,4.62,3.75,4.12,4.88,3.88,4.12,3,3.62,5.12,5,3.88,3,4.75,3,0,3.38,2.62,3.12,5.12,4.62,"1"
"224","19-1042.00",4.67,4.12,4.88,3.5,4,5.5,4.38,3.88,2.75,3.75,5.25,5,3.88,3.12,5,2.88,0,2.5,2.75,2.75,5.25,5.12,"1"
"225","19-2011.00",4.85,4.38,4.5,4.5,4.12,4.62,4,4.88,3,4.12,5,5,4,3.25,4,3.25,0.5,3.25,2.75,3.25,5.12,5,"1"
"226","19-2012.00",4.71,5.13,5.5,3.88,5.25,5.5,5.13,6,3.63,5.63,6.13,6,5.5,3.38,5,4.13,0.38,4.25,3,4.5,5.88,5.63,"1"
"227","19-2021.00",4.65,3.75,4.38,4,3.38,4.25,3.75,3.75,2.75,3.25,5,4.88,3,3,4.12,3.12,0,2.88,2.75,2.75,5,4.75,"1"
"228","19-2031.00",4.4,4.25,4.5,3.38,3.88,4.5,4.12,4.12,2.88,4.12,5.12,4.88,3.5,3,4,3,0.12,3,2.38,3.62,4.88,4.5,"1"
"229","19-2032.00",4.71,4,4.25,4,3.62,4.12,3.75,4.12,2.5,3.12,4.62,4.88,4,2.88,4.12,3.12,0,2.75,2.5,3.62,4.5,4.75,"1"
"230","19-2041.00",4.36,3.75,4.12,3.62,3.88,4.62,3.75,3.75,2.88,3.62,5,5,3.62,3.12,4.62,3.25,1.62,3.12,2.88,2.75,5,4.5,"1"
"231","19-2041.01",4.68,3.38,4.12,3.25,3,4.12,3.62,3.25,2.62,3.12,4.25,4.12,3.5,2.25,3.88,3.12,0,2.62,2.62,2.75,4.38,4.38,"1"
"232","19-2041.02",4,3.62,3.88,3.25,3.5,4.12,3.5,3.12,2.62,3.12,4.25,4.12,3.62,2.88,4,3.12,1.62,2.62,3,3.25,4.25,4.25,"1"
"233","19-2041.03",4.83,4.25,4.88,3.62,4,4.5,4,4.25,2.62,3.75,5,4.75,4,2.62,4.5,2.5,0.38,3.25,2.25,3,4.75,4.62,"1"
"234","19-2042.00",4.58,4.25,4.25,3.62,3.88,4.38,4,4.12,2.38,3.5,5,4.62,3.25,3,4.12,3,1.12,2.75,2.5,3.5,4.88,4.38,"1"
"235","19-2043.00",4.52,4,4.5,3.75,4.12,4.62,3.88,4.38,2.75,4,5,4.88,4.12,3.12,4.25,2.88,1.5,2.88,2.25,3.62,5,4.62,"1"
"236","19-2099.01",4.67,4,4.5,3.25,3.62,4.38,4,4.25,2.75,3.88,4.88,4.5,3.62,3.12,4,3,0.38,2.12,2.75,3.12,5,4.62,"1"
"237","19-3011.00",4.65,3.12,4.38,2.88,4,4.25,3.62,4.25,3,4.25,4.88,4.88,3.5,2.25,4.12,2.75,0,2.25,2,2.5,5,5,"1"
"238","19-3011.01",5,3.38,4,3.5,3.75,4.12,3.38,4.5,3.25,4.38,4.62,4.75,3.62,3,4.12,3.25,0,2.75,2.25,3.12,4.5,4.5,"1"
"239","19-3022.00",4.58,3.88,4.12,3,3.5,4.25,4,4.12,2.88,4.25,4,4.12,3.38,2.75,3.62,2.88,0.12,2.75,2,2.12,4.25,4.25,"1"
"240","19-3031.01",4.34,3.38,4.12,3.12,3.38,4.38,3.5,3.12,2.62,3,4.88,4.75,3.5,2.88,4.25,2.88,0.25,2.38,2.88,2.25,4.88,4.75,"1"
"241","19-3031.02",4.58,3.38,4.62,3.25,3.5,4.62,3.25,1.75,2.38,1.75,4.5,4.75,3.62,2.5,5,3,0,2.75,2.38,1.88,4.62,4.12,"1"
"242","19-3031.03",4.21,3.62,4.25,3,3.75,4.62,3.75,2.5,2.75,2,4.88,4.62,4,2.38,4.62,3.12,0,3,2.75,1.75,4.38,4,"1"
"243","19-3032.00",4.77,3.88,4.62,3,4.12,4,3.88,3.75,3.12,3.75,4.75,4.75,4,2.75,4.12,2.88,0,2.88,2.38,2.75,4.88,4.88,"1"
"244","19-3039.01",4.85,4.12,4.88,4.12,4.12,5.62,4,3,3,3.12,5.38,5.62,3.75,3,5.75,3.25,0.12,3.62,2.62,3.62,5.12,5.12,"1"
"245","19-3041.00",4.95,3.62,4.25,2.88,3.62,4.12,3.5,3.5,2.62,2.5,5,5,3.88,2,3.75,2.75,0,1.88,2.12,2,4.62,4.88,"1"
"246","19-3051.00",4.49,3.88,4,3.38,4.12,4,3.88,3.62,2.38,3.62,4.38,4.62,4,2.75,4,3.12,1.12,2.62,2.62,3.88,4.38,4.25,"1"
"247","19-3091.01",4.64,4.25,4.88,3.25,4,4.88,3.88,3,2.88,2.25,5,5.12,3.75,2.25,3.88,2.88,0.12,3.25,2,2.62,5,5.12,"1"
"248","19-3091.02",4.58,4,4.38,4,4,4.62,4.12,3.38,2.75,3.12,4.88,5,4,2.88,4,3.5,1,3.62,2.38,3.75,4.62,4.75,"1"
"249","19-3092.00",4.48,4,4.12,3.62,3.62,4.12,3.88,3.38,2.62,3.38,4.88,5,3.62,2.88,3.88,3,0,2.62,2.25,2.88,4.75,4.62,"1"
"250","19-3093.00",3.53,3.38,3.62,2.75,3.5,3.88,3.25,1.5,2.12,1.25,4.62,4.75,3.12,2,3.5,2.75,0,1.88,2,1.88,5,4.88,"0"
"251","19-3094.00",4.87,3.5,4.12,2.5,3.75,4,3.5,3,2.75,2.25,4.62,4.75,3.62,1.88,3.75,2.88,0,2.5,2.25,1.75,4.88,4.75,"1"
"252","19-3099.01",4.5,3.5,4,3.12,3.88,3.88,3.88,3.62,2.75,3.5,4.12,4.12,3.75,3,4,3.62,0.75,3.12,3,3.75,4.25,4,"1"
"253","19-4011.01",4.37,3.25,3.5,3,3,3.62,3.25,3,2.38,3,4,4,3,2.75,3.75,2.62,1.38,2,2.75,2.62,4,3.75,"1"
"254","19-4011.02",3.8,3.12,3.5,2.88,2.88,3.5,3.12,3,2.5,3.12,4.12,4,2.38,2.88,3.25,3,0.38,2,2.75,2.88,3.88,3.75,"0"
"255","19-4021.00",4.13,3.88,4,3.75,3.25,4.12,3.88,3.5,2.12,3.12,4.62,4,3.12,3.12,4,3.5,0.12,2.75,2.12,3.12,4.12,3.88,"1"
"256","19-4031.00",3.07,3.75,3.75,3.12,3,3.75,3.88,3,2.88,3,4,4,3,3.12,3.88,3,0.12,2.62,2.5,3,4,3.75,"0"
"257","19-4041.01",4,3.25,3.25,2.88,2.25,3.13,3.25,2.75,1.63,2.75,4.13,4.25,2.63,2.63,3.13,2.88,0.25,1.25,2,3,4.25,3.5,"1"
"258","19-4041.02",3.81,3.62,3.88,3.75,3,4,3.88,3.12,2.62,3.5,4.25,4,3,3,3.75,2.88,1.75,2.75,2.5,3,4.12,3.62,"0"
"259","19-4051.01",3.99,3.25,4,3.88,2.38,4,3.88,3.38,2.5,3.5,4,3.88,2.12,4,4,4,1.62,2.75,3.5,3.38,4,3.12,"1"
"260","19-4051.02",3.66,3.62,4,3.12,3,4,3.88,3,2.88,3,4,4,3,3.38,4.25,3.88,0.25,2.75,2.88,2.88,4,3.88,"0"
"261","19-4061.00",4.02,3.12,3.75,3.12,3,3.5,3.38,3.12,2.75,3.12,4.12,4.25,3,2.62,3.5,3.12,0,2.5,2,2.75,4.25,3.88,"1"
"262","19-4061.01",4.15,3,3.38,2.62,3,3.25,3.12,2.62,1.75,3.12,4.25,4,3.38,2.38,3.5,2.88,0,2.12,2.62,2.75,3.75,3.62,"1"
"263","19-4091.00",4.19,3.75,3.88,3.12,2.88,3.88,3.75,3.25,2.62,3.12,4,4,3,3,3.88,3,1.88,2.75,2.88,3,4.12,4,"1"
"264","19-4092.00",4.47,4.12,4.62,4.38,4,4.12,4,3,2.88,3,4.75,4.62,3.38,3.5,4.25,3.12,1.75,3.62,2.38,3.75,4.25,4.12,"1"
"265","19-4093.00",3.7,3.12,3.75,3.38,2.88,3.25,3.5,2.88,2.62,2.75,3.88,3.88,2.88,2.88,3.75,3.12,2.62,2.62,2.88,3.62,3.62,3.25,"0"
"266","19-4099.01",3.88,3.38,3.5,3.25,3.12,3.38,3.5,3.25,2.75,3,4,3.88,3,3.38,3.62,3.25,0.25,2.5,2.88,2.75,3.62,3.62,"1"
"267","19-4099.02",4.23,3.75,4.12,3.75,3.12,4,3.88,3.25,2.88,3.25,4,4,3.12,3.12,3.88,3,2.12,2.88,2.75,3.38,4,3.88,"1"
"268","19-4099.03",4.22,3.88,3.88,4.12,3.75,3.75,3.88,4.12,2.62,3.75,4.5,4.5,3.38,3,3.75,3.38,1.38,3,2.75,3.62,4.25,4.12,"1"
"269","21-1011.00",4.09,3.25,4.12,3,3.12,4,3.5,2.12,2.62,2.25,4.5,4.5,3.25,2.62,4.38,2.88,0,2.38,2.75,2.62,4.25,4,"1"
"270","21-1012.00",4.1,3.5,4,2.88,3.88,4,3.12,2.5,2.88,2.25,4.5,4.5,3.75,2.12,4.38,3,0,2.62,2.88,2.38,4.5,4.38,"1"
"271","21-1013.00",3.52,3.25,4,3.12,3.75,4.25,3.38,1.75,2.88,1.88,4.38,4.75,3.38,2.12,4.25,3,0,3.62,3,2.62,4,4,"0"
"272","21-1014.00",4.02,4,4.5,3.12,4.25,5.12,3.88,2.12,2.88,2.25,4.88,4.88,4,2.75,5,3.62,0,2.88,2.12,2,4.38,4.25,"1"
"273","21-1015.00",3.85,3,4,2.75,3.5,4,3.12,1.75,2.62,1.5,4.38,4.12,3.5,2.38,4,2.88,0,2.62,2.62,2.12,3.88,4,"0"
"274","21-1021.00",3.53,3.25,3.88,2.88,3.38,3.88,3.38,2.38,2.62,2,4.12,4.12,3.38,2.62,4.38,3,0.75,2.75,2.75,2,4.12,4,"0"
"275","21-1022.00",3.88,3.62,4.25,3.12,3.88,4,3.38,2,2.88,2.12,4.5,4.38,3.62,2.75,4.38,3,0,3,2.88,2.25,4.25,4.25,"1"
"276","21-1023.00",3.95,3.62,4.12,3,3.75,4.12,3.75,2.62,3,2.62,4.62,4.5,3.88,2.88,4.62,3.25,0.12,3.25,2.88,2,4.25,4,"1"
"277","21-1091.00",4.06,3,3.88,2.25,3.75,3.75,3,2.38,2.38,2.12,4.12,4.38,3.38,2,3.38,2.88,0.12,2.12,2.62,2.12,4.25,4.25,"1"
"278","21-1092.00",4.19,3.12,3.88,2.25,3,3.75,3.12,1.12,2.12,1,4,4.25,3.12,1.62,4.25,2.62,0.38,1.62,2.38,1.5,4,4,"1"
"279","21-1093.00",3.85,3,3.88,2.88,3,3.25,3.12,2.12,2.88,2.75,4,4.12,3,2.75,3.88,3,1.38,2.88,3,2.25,3.88,3.88,"0"
"280","21-1094.00",4.07,3.12,3.75,2.88,3.5,3.75,3.12,2.62,2.38,2.5,3.88,3.88,3,2.62,3.75,2.88,1.12,2.12,2.75,2.5,3.75,3.62,"1"
"281","21-2011.00",3.77,3.5,4,2.75,3.88,3.88,3.75,2.62,3.88,3.12,4.38,4.88,3.75,2.62,4.5,3,0.38,3,3.12,2.38,4.25,4.25,"0"
"282","21-2021.00",3.03,3,3.88,2.62,3.62,3.62,3.12,2.38,2.88,2.62,4.25,4.5,3.25,2.12,3.62,2.62,0.12,2.62,2.38,2.62,4,4,"0"
"283","23-1011.00",4.64,3.75,4.38,3,3.88,4.25,3.88,2.38,3.12,2.5,5,5,3.75,2.5,4,3,0,2.62,2.62,2.5,5,5,"1"
"284","23-1012.00",4.65,3.38,3.88,2.62,2.88,3.88,3.62,2.62,2.62,2.5,4.38,4.25,2.88,2.5,3.75,2.88,0,2.5,2.25,1.88,4.5,4.38,"1"
"285","23-1021.00",4.39,3.38,4.88,2.88,3.25,4.75,3.62,2.38,2.88,2.62,5.12,5.25,3.12,2.62,4.12,3.12,0,2.38,2.75,1.5,5.12,5,"1"
"286","23-1022.00",4.32,3,4.25,2.88,3.62,4.12,3.38,2.12,2.12,1.88,5,5,3.5,2.38,4,2.5,0,2.62,2.25,1.88,4.5,4.5,"1"
"287","23-1023.00",4.55,3.38,5,3,3.75,5,3.75,2.5,3.38,2,5.25,5,3.12,2.62,4.12,3.38,0,3,2.62,1.5,5.25,5.12,"1"
"288","23-2011.00",3.59,3.12,3.38,3,2.62,3.25,3.25,2,2.75,2.12,4,4,2.88,2.88,3.25,2.62,0,2,2,2.12,4.25,4,"0"
"289","23-2091.00",2.43,2.5,3,2.12,1.25,2.62,3.38,1.25,2.62,1,4,3.75,0.88,2.38,2.88,3.25,0,1.62,2.38,1.25,3.75,3.38,"0"
"290","23-2093.00",3.79,3.12,3.38,2.75,2,3.12,3,2,2,2.12,4,4,1.88,2.38,2.88,2.75,0,1.62,1.88,1.75,4,3.75,"0"
"291","25-1011.00",4.78,3.25,4.25,2.62,3.12,4,3.62,3.62,3,3.25,5,5.25,3.38,2.25,3.25,2.88,0,2.75,2,2.12,4.88,5.12,"1"
"292","25-1021.00",4.39,3.75,3.88,3,3.5,3.88,3.88,3.88,2.88,3,5,5.25,3.62,2,3.5,2.88,0,2.25,2.12,2.75,4.88,5,"1"
"293","25-1022.00",4.7,3.25,4.12,2.5,3.38,4.12,3.5,4.75,3,4.62,5,4.88,3.5,2.12,3.25,2.75,0,2.25,2.62,2.12,4.38,4.5,"1"
